id,brand,title,sold_price,actual_price,url,img
498,GoSriKi,GoSriKi Women's Georgette Blend Printed Saree With Blouse Piece (MAHA-BLUE-GS_Blue_Free Size),₹289,"₹2,599",https://www.amazon.in/GoSriKi-Womens-Georgette-Printed-MAHA-BLUE-GS_Blue_Free/dp/B0BJ747J4T/ref=sr_1_2332?qid=1679212387&s=apparel&sr=1-2332,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71qJXk3uRcL._AC_UL320_.jpg
499,Malabar,Malabar Gold & Diamonds 24k (999) Goddess Lakshmi 1 gm Yellow Gold Coin,"₹6,529","₹6,959",https://www.amazon.in/Malabar-Gold-Diamonds-Yellow-Precious/dp/B01FVREB1K/ref=sr_1_2333?qid=1679212387&s=apparel&sr=1-2333,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71IUos2Po3L._AC_UL320_.jpg
500,Mucky,Mucky Fashion Bikini 07206,₹369,₹699,https://www.amazon.in/Mucky-Fashion-Bikini-07206-Black/dp/B0BXCVB7SC/ref=sr_1_2334?qid=1679212387&s=apparel&sr=1-2334,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51xDAc66D+L._AC_UL320_.jpg
501,VOGARD,VOGARD Men's Artificial Leather Belt,₹499,"₹1,200",https://www.amazon.in/VOGARD-Auto-Lock-Buckle-Black/dp/B07SJGR95G/ref=sr_1_2335?qid=1679212387&s=apparel&sr=1-2335,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71PWQ1b8LHL._AC_UL320_.jpg
502,Scotch-Brite,Scotch-Brite Silver Sparks Scrub Pad 2.75x4 (Pack of 6),₹90,₹90,https://www.amazon.in/Scotch-Brite-Silver-Sparks-Pad-Pack/dp/B081V49N8Z/ref=sr_1_2336?qid=1679212387&s=apparel&sr=1-2336,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81cyN4KxppS._AC_UL320_.jpg
503,Acnos,Acnos Analog Women's Watch (Black Dial Multi Colored Strap),₹285,"₹1,999",https://www.amazon.in/Acnos-Magnet-Analogue-Womens-Bracelet/dp/B0925W8D7R/ref=sr_1_2337?qid=1679212387&s=apparel&sr=1-2337,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61io5i0IUDL._AC_UL320_.jpg
504,Sanas,Sanas Mini Butterfly Clips Attractive Comfortable Flower shaped Small Claw Clips Kids Hair Accessories No Slip Tiny Baby P...,₹395,₹850,https://www.amazon.in/Sanas-Attractive-Comfortable-Accessories-Multicolor/dp/B095Z1795J/ref=sr_1_2338?qid=1679212387&s=apparel&sr=1-2338,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81MXJ0H3FDL._AC_UL320_.jpg
505,Carrying,"Carrying Case for PS4, New Travel Storage Carry Case, Playstation Protective Shoulder Bag Handbag for PS4 PS4 Slim System ...","₹3,937","₹7,874",https://www.amazon.in/Carrying-Playstation-Protective-Shoulder-Accessories/dp/B07LD31CH3/ref=sr_1_2339?qid=1679212387&s=apparel&sr=1-2339,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Vxv3nROXL._AC_UL320_.jpg
506,Fire-Boltt,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, AI Voice Assistance with HD Display, 100 Sports Modes, ...","₹1,799","₹17,999",https://www.amazon.in/Fire-Boltt-Bluetooth-Calling-Assistance-Monitoring/dp/B0B854R7NS/ref=sr_1_2340?qid=1679212387&s=apparel&sr=1-2340,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61BY9Mhhj2L._AC_UL320_.jpg
507,American,American Tourister Georgia Polycarbonate 79 cms Moonlight Blue Hardsided Check-in Luggage,"₹4,899","₹10,380",https://www.amazon.in/American-Tourister-Polycarbonate-FS3-003/dp/B07S2G71ZX/ref=sr_1_2341?qid=1679212387&s=apparel&sr=1-2341,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71lGyN0F1sL._AC_UL320_.jpg
